,,Date,Cases,Dead,Recovered,Infected
44,24,3/17/2003,95,1,,94
45,25,3/18/2003,123,1,,122
46,26,3/19/2003,150,5,,145
47,27,3/20/2003,173,6,,167
48,28,3/21/2003,203,6,,197
49,29,3/22/2003,222,7,,215
51,31,3/24/2003,260,10,,250
52,32,3/25/2003,286,10,,276
53,33,3/26/2003,316,10,,306
54,34,3/27/2003,367,10,,357
55,35,3/28/2003,425,10,,415
56,36,3/29/2003,470,10,,460
58,38,3/31/2003,530,13,,517
59,39,4/1/2003,685,16,,669
60,40,4/2/2003,708,16,,692
61,41,4/3/2003,734,17,,717
62,42,4/4/2003,761,17,,744
63,43,4/5/2003,800,20,,780
65,45,4/7/2003,883,23,,860
66,46,4/8/2003,928,25,,903
67,47,4/9/2003,970,27,,943
68,48,4/10/2003,998,30,154,814
69,49,4/11/2003,1059,32,169,858
70,50,4/12/2003,1108,35,215,858
72,52,4/14/2003,1190,47,229,914
73,53,4/15/2003,1232,56,243,933
74,54,4/16/2003,1268,61,257,950
75,55,4/17/2003,1297,65,272,960
76,56,4/18/2003,1358,81,363,914
77,57,4/19/2003,1358,81,363,914
79,59,4/21/2003,1402,94,436,872
80,60,4/22/2003,1434,99,461,874
81,61,4/23/2003,1458,105,522,831
82,62,4/24/2003,1488,109,567,812
83,63,4/25/2003,1510,115,614,781
84,64,4/26/2003,1527,121,632,774
86,66,4/28/2003,1557,138,710,709
87,67,4/29/2003,1572,150,759,663
88,68,4/30/2003,1589,157,791,641
89,69,5/1/2003,1600,162,834,604
90,70,5/2/2003,1611,170,878,563
91,71,5/3/2003,1621,179,898,544
93,73,5/5/2003,1637,187,930,520
94,74,5/6/2003,1646,193,958,495
95,75,5/7/2003,1654,204,984,466
96,76,5/8/2003,1661,208,1008,445
97,77,5/9/2003,1667,210,1015,442
98,78,5/10/2003,1674,212,1035,427
100,80,5/12/2003,1683,218,1066,399
101,81,5/13/2003,1689,225,1090,374
102,82,5/14/2003,1698,227,1128,343
103,83,5/15/2003,1703,234,1160,309
104,84,5/16/2003,1706,238,1171,297
105,85,5/17/2003,1710,243,1191,276
107,87,5/19/2003,1714,251,1213,250
108,88,5/20/2003,1718,253,1229,236
109,89,5/21/2003,1719,255,1237,227
110,90,5/22/2003,1722,258,1247,217
111,91,5/23/2003,1724,260,1255,209
112,92,5/24/2003,1724,262,1266,196
114,94,5/26/2003,1726,267,1267,192
115,95,5/27/2003,1728,269,1285,174
116,96,5/28/2003,1730,270,1295,165
117,97,5/29/2003,1732,273,1302,157
118,98,5/30/2003,1736,274,1304,158
119,99,5/31/2003,1739,278,1310,151
121,101,6/2/2003,1746,282,1319,145
122,102,6/3/2003,1747,283,1326,138
123,103,6/4/2003,1748,283,1339,126
124,104,6/5/2003,1748,284,1343,121
125,105,6/6/2003,1750,286,1350,114
128,108,6/9/2003,1753,288,1365,100
129,109,6/10/2003,1754,290,1368,96
130,110,6/11/2003,1754,290,1368,96
131,111,6/12/2003,1755,291,1377,87
132,112,6/13/2003,1755,293,1380,82
135,115,6/16/2003,1755,295,1386,74
136,116,6/17/2003,1755,295,1387,73
137,117,6/18/2003,1755,295,1393,67
138,118,6/19/2003,1755,296,1396,63
139,119,6/20/2003,1755,296,1403,56
142,122,6/23/2003,1755,296,1411,48
143,123,6/24/2003,1755,296,1417,42
144,124,6/25/2003,1755,296,1419,40
145,125,6/26/2003,1755,296,1419,40
146,126,6/27/2003,1755,296,1422,37
149,129,6/30/2003,1755,298,1429,28
150,130,7/1/2003,1755,298,1429,28
151,131,7/2/2003,1755,298,1429,28
152,132,7/3/2003,1755,298,1429,28
153,133,7/4/2003,1755,298,1430,27
156,136,7/7/2003,1755,298,1430,27
157,137,7/8/2003,1755,298,1430,27
158,138,7/9/2003,1755,298,1431,26
159,139,7/10/2003,1755,298,1431,26
160,140,7/11/2003,1755,298,1433,24
187,167,8/7/2003,1755,300,1448,7
